Meeting,Segment,Word_Count,Excerpt,Compound,Positive_Pct,Negative_Pct,Neutral_Pct,Valence,Intensity,Polarity,Subjectivity,Dom_Emotion,Joy,Trust,Fear,Surprise,Sadness,Disgust,Anger,Anticipation
M1: Beginning,1,25,"That's me eating. Do you know, like, the little chocolate covered strawberries they have in the freezer aisle? Those are...",0.8731,0.311,0.0,0.689,Positive,Strong,0.2562,0.55,Joy,0.2857,0.2857,0.0,0.1429,0.0,0.0,0.0,0.2857
M1: Beginning,2,32,"Yeah, yeah, yeah, I love both of them. But I have to only limit myself to getting one every time...",0.8248,0.283,0.0,0.717,Positive,Strong,0.25,0.8,Joy,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
M1: Beginning,3,48,We were waiting for that. One person's coming just a little bit late. But I think in the interest of...,0.7684,0.126,0.0,0.874,Positive,Strong,0.0375,0.6667,Anticipation,0.1667,0.1667,0.0,0.0,0.1667,0.0,0.0,0.5
M1: Beginning,4,128,"Hi everyone, feel free to get snacks, drink whatever you would like. Thank you so much for coming and being...",0.9558,0.182,0.0,0.818,Positive,Strong,0.194,0.4462,Trust,0.2143,0.2857,0.0,0.0,0.1429,0.1429,0.0,0.2143
M1: Beginning,5,47,We just got started. Yeah. At all. So feel free. You can have a seat wherever you'd like. We're just...,0.8906,0.267,0.0,0.733,Positive,Strong,0.4,0.64,Joy,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
M1: Beginning,6,291,"Okay. Well, again, thank you for being here. I'll repeat myself. And we're just a team of researchers, autistic and...",0.9944,0.203,0.02,0.777,Positive,Strong,0.2318,0.5266,Trust,0.2581,0.4194,0.0323,0.0323,0.0323,0.0323,0.0,0.1935
M1: Beginning,7,283,Just because people might reveal personal stuff about their relationships or past history or anything like that. So all sound...,0.994,0.208,0.04,0.752,Positive,Strong,0.2493,0.5749,Trust,0.2414,0.3103,0.0345,0.069,0.069,0.069,0.0345,0.1724
M1: Beginning,8,27,"Oh, and actually, if you hold on one second, the last person is here just in time. So not this...",0.6948,0.154,0.0,0.846,Positive,Strong,0.25,0.2917,Anticipation,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.5
M1: Beginning,9,52,"Well, I'm Laura. I've been interested in this topic most of my life. I feel that when I was a...",0.8384,0.172,0.0,0.828,Positive,Strong,0.2768,0.4095,Joy,0.3333,0.0,0.0,0.0,0.3333,0.3333,0.0,0.0
M1: Beginning,10,67,Perfect timing. We're just going to just do quick introductions. We're just going to say your name and kind of...,0.9588,0.238,0.0,0.762,Positive,Strong,0.349,0.7214,Trust,0.2,0.3,0.0,0.0,0.2,0.2,0.0,0.1
M1: Beginning,11,62,"Yeah. Hi everyone. My name is Ellen. And I've been interested in this topic also since high school, but I...",0.934,0.224,0.0,0.776,Positive,Strong,0.226,0.4173,Sadness,0.1,0.1,0.0,0.1,0.3,0.3,0.0,0.1
M1: Beginning,12,58,"Hi, I'm Estrella. I recently got a diagnosis. So I'm still kind of getting like used to, I guess, but...",0.8271,0.178,0.051,0.771,Positive,Strong,0.3625,0.6625,Trust,0.1111,0.2222,0.1111,0.1111,0.1111,0.1111,0.0,0.2222
M1: Beginning,13,85,I'm Lola. It's really funny because I got my diagnosis from the Koegel Autism center. I think a little over...,0.9489,0.193,0.0,0.807,Positive,Strong,0.1911,0.4746,Trust,0.2857,0.4286,0.1429,0.0,0.0,0.0,0.0,0.1429
M1: Beginning,14,148,Hi. I am Adrielly. I am a first year science major here at UCSB. The process there to get it...,0.9664,0.145,0.023,0.832,Positive,Strong,0.1256,0.525,Anticipation,0.1875,0.25,0.0625,0.1875,0.0,0.0,0.0,0.3125
M1: Beginning,15,25,"That's awesome. Yeah, this will be chill. This is just going to be a conversation about the topic. So it...",0.9001,0.364,0.0,0.636,Positive,Strong,0.6778,0.9444,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1: Beginning,16,56,My name is Sophie. I was diagnosed when I was four. I've always struggled with I've always been ridiculously shy...,0.9037,0.222,0.136,0.641,Positive,Strong,0.182,0.476,Joy,0.3333,0.3333,0.0,0.0833,0.0,0.0,0.0,0.25
M1: Beginning,17,109,My name is Nick. I discovered I had autism back in 2011 when I got diagnosed. By the autism center....,-0.5144,0.0,0.03,0.97,Negative,Moderate,0.1714,0.4429,Trust,0.1667,0.5,0.0,0.1667,0.0,0.0,0.0,0.1667
M1: Beginning,18,95,"Hi guys, I'm Sydney. I chose this topic, I think because it's just relevant to like, like young adults living...",0.9771,0.26,0.019,0.721,Positive,Strong,0.253,0.5407,Joy,0.3636,0.3636,0.0,0.0909,0.0,0.0,0.0,0.1818
M1: Beginning,19,77,Audrey I'm also a senior here in the sociology and like clinical psych program. I wanted to participate in this...,0.9,0.188,0.0,0.812,Positive,Strong,0.2219,0.675,Joy,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.2
M1: Beginning,20,127,Hi guys. My name is Lance. I am a third year stats and data science major. And I was interested...,0.9879,0.27,0.011,0.719,Positive,Strong,0.2167,0.4432,Sadness,0.0833,0.25,0.0,0.0,0.3333,0.25,0.0,0.0833
M1: Beginning,21,92,"Yeah. Make sure people can get in. So I'm Ty Vernon. So I direct the center here. Yeah. And my,...",0.9787,0.276,0.0,0.724,Positive,Strong,0.1139,0.4515,Anticipation,0.1,0.2,0.0,0.1,0.1,0.1,0.1,0.3
